title,text,topics,places,summary,cleaned_summary
COBANCO INC &lt;CBCO> YEAR NET,"Shr 34 cts vs 1.19 dlrs
    Net 807,000 vs 2,858,000
    Assets 510.2 mln vs 479.7 mln
    Deposits 472.3 mln vs 440.3 mln
    Loans 299.2 mln vs 327.2 mln
    Note: 4th qtr not available. Year includes 1985
extraordinary gain from tax carry forward of 132,000 dlrs, or
five cts per shr.
 Reuter
",['earn'],['usa'],"Shr 34 cts vs 1.19 dlrs. Net 807,000 vs 2,858,000. Assets 510.2 mln vs 479.7 mln. Deposits 472.3 mln vs 440.3mln. Loans 299.2mln vs 327mln. Year includes 1985 extraordinary gain from tax carry forward of 132,000 cts per shr.","shr 34 ct v 1.19 dlrs net 807,000 v 2,858,000 asset 510.2 mln v 479.7 mln deposit 472.3 mln v 440.3mln loan 299.2mln v 327mln year includes 1985 extraordinary gain tax carry forward 132,000 ct per shr"
OHIO MATTRESS &lt;OMT> MAY HAVE LOWER 1ST QTR NET,"Ohio Mattress Co said its first
quarter, ending February 28, profits may be below the 2.4 mln
dlrs, or 15 cts a share, earned in the first quarter of fiscal
1986.
    The company said any decline would be due to expenses
related to the acquisitions in the middle of the current
quarter of seven licensees of Sealy Inc, as well as 82 pct of
the outstanding capital stock of Sealy.
    Because of these acquisitions, it said, first quarter sales
will be substantially higher than last year's 67.1 mln dlrs.
    Noting that it typically reports first quarter results in
late march, said the report is likely to be issued in early
April this year.
    It said the delay is due to administrative considerations,
including conducting appraisals, in connection with the
acquisitions.
 Reuter
","['earn', 'acq']",['usa'],Ohio Mattress Co's first quarter profits may be below the 2.4 million dlrs earned in the first quarter of fiscal 1986. The company said any decline would be due to the expenses related to the acquisitions in the middle of the current quarter of seven licensees of Sealy Inc and 82 pct of the outstanding capital stock. First quarter sales will be substantially higher than last year's 67.1 mlrs. The report is likely to be issued in early April this year.,ohio mattress co 's first quarter profit may 2.4 million dlrs earned first quarter fiscal 1986 company said decline would due expense related acquisition middle current quarter seven licensee sealy inc 82 pct outstanding capital stock first quarter sale substantially higher last year 's 67.1 mlrs report likely issued early april year
AM INTERNATIONAL INC &lt;AM> 2ND QTR JAN 31,"Oper shr loss two cts vs profit seven cts
    Oper shr profit 442,000 vs profit 2,986,000
    Revs 291.8 mln vs 151.1 mln
    Avg shrs 51.7 mln vs 43.4 mln
    Six mths
    Oper shr profit nil vs profit 12 cts
    Oper net profit 3,376,000 vs profit 5,086,000
    Revs 569.3 mln vs 298.5 mln
    Avg shrs 51.6 mln vs 41.1 mln
    NOTE: Per shr calculated after payment of preferred
dividends.
    Results exclude credits of 2,227,000 or four cts and
4,841,000 or nine cts for 1986 qtr and six mths vs 2,285,000 or
six cts and 4,104,000 or 11 cts for prior periods from
operating loss carryforwards.
 Reuter
",['earn'],['usa'],"Operative shr profit 442,000 vs profit 2,986,000, Revs 291.8 mln vs 151.1 mln, Shrs 51.7m vs 43.4m, Net profit 3,376m vs profit 5,086m, and Revs 569m vs 298m.","operative shr profit 442,000 v profit 2,986,000 rev 291.8 mln v 151.1 mln shrs 51.7m v 43.4m net profit 3,376m v profit 5,086m rev 569m v 298m"
BROWN-FORMAN INC &lt;BFD> 4TH QTR NET,"Shr one dlr vs 73 cts
    Net 12.6 mln vs 15.8 mln
    Revs 337.3 mln vs 315.2 mln
    Nine mths
    Shr 3.07 dlrs vs 3.08 dlrs
    Net 66 mln vs 66.2 mln
    Revs 1.59 billion vs 997.1 mln
 Reuter
",['earn'],['usa'],"Shr one dlr vs 73 cts, Net 12.6 mln vs 15.8 mln, Revs 337.3 mn vs 315.2 mln and Revs 1.59 billion vs 997.1 mln Reuter.",shr one dlr v 73 ct net 12.6 mln v 15.8 mln rev 337.3 mn v 315.2 mln rev 1.59 billion v 997.1 mln reuter
NATIONAL INTERGROUP&lt;NII> TO OFFER PERMIAN UNITS,"National Intergroup Inc said it plans
to file a registration statement with the securities and
exchange commission for an offering of cumulative convertible
preferred partnership units in Permian Partners L.P.
    The Permian Partners L.P. was recently formed by National
Intergroup to continue to business of Permian Corp, acquired by
the company in 1985.
    The company said Permian will continue to manage the
business as a general partner, retaining a 35 pct stake in the
partnership in the form of common and general partnership
units.
    It did not say how many units would be offered or what the
price would be.
 Reuter
",[],['usa'],National Intergroup Inc plans to file a registration statement with the securities and exchange commission for an offering of cumulative convertible preferred partnership units in Permian Partners L.P. The company did not say how many units would be offered or what the price would be.,national intergroup inc plan file registration statement security exchange commission offering cumulative convertible preferred partnership unit permian partner l.p company say many unit would offered price would
NATIONAL HEALTH ENHANCEMENT &lt;NHES> NEW PROGRAM,"National Health Enhancement
Systems Inc said it is offering a new health evaluation system
to its line of fitness assessment programs.
    The company said the program, called The Health Test, will
be available in 60 days.
    Customers who use the program will receive a
computer-generated report and recommendations for implementing
a program to improve their physical condition.
 Reuter
",[],['usa'],National Health Enhancement Systems Inc. is offering a new health evaluation system to its line of fitness assessment programs. The Health Test will be available in 60 days. Customers will receive a computer-generated report and recommendations for implementing a program to improve their physical condition.,national health enhancement system inc offering new health evaluation system line fitness assessment program health test available 60 day customer receive computer-generated report recommendation implementing program improve physical condition
DEAN FOODS &lt;DF> SEES STRONG 4TH QTR EARNINGS,"Dean Foods Co expects earnings for the
fourth quarter ending May 30 to exceed those of the same
year-ago period, Chairman Kenneth Douglas told analysts.
    In the fiscal 1986 fourth quarter the food processor
reported earnings of 40 cts a share.
    Douglas also said the year's sales should exceed 1.4
billion dlrs, up from 1.27 billion dlrs the prior year.
    He repeated an earlier projection that third-quarter
earnings ""will probably be off slightly"" from last year's 40
cts a share, falling in the range of 34 cts to 36 cts a share.
    Douglas said it was too early to project whether the
anticipated fourth quarter performance would be ""enough for us
to exceed the prior year's overall earnings"" of 1.53 dlrs a
share.
    In 1988, Douglas said Dean should experience ""a 20 pct
improvement in our bottom line from effects of the tax reform
act alone.""
    President Howard Dean said in fiscal 1988 the company will
derive  benefits of various dairy and frozen vegetable
acquisitions from Ryan Milk to the Larsen Co.
    Dean also said the company will benefit from its
acquisition in late December of Elgin Blenders Inc, West
Chicago.
    He said the company is a major shareholder of E.B.I. Foods
Ltd, a United Kingdom blender, and has licensing arrangements
in Australia, Canada, Brazil and Japan.
    ""It provides ann entry to McDonalds Corp &lt;MCD> we've been
after for years,"" Douglas told analysts.
 Reuter
",['earn'],['usa'],"Dean Foods Co expects earnings for the fourth quarter ending May 30 to exceed those of the same period last year. Chairman Kenneth Douglas also expects the year's sales to exceed 1.4 billion dlrs. Third-quarter earnings will probably be off slightly, falling in the range of 34 cts to 36 cts a share.",dean food co expects earnings fourth quarter ending may 30 exceed period last year chairman kenneth douglas also expects year 's sale exceed 1.4 billion dlrs third-quarter earnings probably slightly falling range 34 ct 36 ct share
BONUS WHEAT FLOUR FOR NORTH YEMEN  -- USDA,"The Commodity Credit Corporation, CCC,
has accepted an export bonus offer to cover the sale of 37,000
long tons of wheat flour to North Yemen, the U.S. Agriculture
Department said.
    The wheat four is for shipment March-May and the bonus
awarded was 119.05 dlrs per tonnes and will be paid in the form
of commodities from the CCC inventory.
    The bonus was awarded to the Pillsbury Company.
    The wheat flour purchases complete the Export Enhancement
Program initiative announced in April, 1986, it said.
 Reuter
","['wheat', 'grain']","['yemen-arab-republic', 'usa']","The Commodity Credit Corporation accepted an export bonus offer to cover the sale of 37,000 long tons of wheat flour to North Yemen. The bonus was 119.05 dlrs per tonnes and will be paid in the form of commodities from the CCC inventory.","commodity credit corporation accepted export bonus offer cover sale 37,000 long ton wheat flour north yemen bonus wa 119.05 dlrs per tonne paid form commodity ccc inventory"
CREDIT CARD DISCLOSURE BILLS INTRODUCED,"Legislation to require disclosure of
credit card fees and interest rates before the cards are issued
have been introduced in the Senate and House.
    Sen. Chris Dodd, D-Conn, a co-sponsor of the bill, said
many banks and financial institutions do not disclose all the
information about terms of their cards in promotional material
sent to prospective customers.
    ""By requiring card issuers to disclose the terms and
conditions of their cards at the time of solicitation, the
legislation is intended to arm consumers with enough
information to shop around for the best deal,"" Dodd said in a
statement.
 Reuter
",[],['usa'],Legislation to require disclosure of credit card fees and interest rates before the cards are issued has been introduced in the Senate and House. Many banks and financial institutions do not disclose all the information about terms of their cards in promotional material. The legislation is intended to arm consumers with enough information to shop around for the best deal.,legislation require disclosure credit card fee interest rate card issued ha introduced senate house many bank financial institution disclose information term card promotional material legislation intended arm consumer enough information shop around best deal
HUGHES CAPITAL UNIT SIGNS PACT WITH BEAR STEARNS,"Hughes/Conserdyne Corp, a
unit of &lt;Hughes Capital Corp> said it made Bear Stearns and Co
Inc &lt;BSC> its exclusive investment banker to develop and market
financing for the design and installation of its micro-utility
systems for municipalities.
    The company said these systems are self-contained
electrical generating facilities using alternate power sources,
such as photovoltaic cells, to replace public utility power
sources.
 Reuter
",[],['usa'],Hughes/Conserdyne Corp made Bear Stearns and Co. its exclusive investment banker to develop and market financing for the design and installation of micro-utility systems for municipalities. These systems are self-contained electrical generating facilities using alternate power sources.,hughes/conserdyne corp made bear stearns co exclusive investment banker develop market financing design installation micro-utility system municipality system self-contained electrical generating facility using alternate power source
MAGMA LOWERS COPPER 0.75 CENT TO 66 CTS,"Magma Copper Co, a subsidiary of Newmont
Mining Corp, said it is cutting its copper cathode price by
0.75 cent to 66 cents a lb, effective immediately.
 Reuter
",['copper'],['usa'],"Magma Copper Co, a subsidiary of Newmont Mining Corp, is cutting its copper cathode price by 0.75 cent to 66 cents a lb effective immediately. Reuter reports that Magma Copper is cutting the price by0.75 cents per lb.",magma copper co subsidiary newmont mining corp cutting copper cathode price 0.75 cent 66 cent lb effective immediately reuter report magma copper cutting price by0.75 cent per lb
"BROWN-FORMAN &lt;BFDB> SETS STOCK SPLIT, UPS PAYOUT","Brown-Forman Inc said its board
has approved a three-for-two stock split and a 35 pct increase
in the company cash dividend.
    The company cited its improved earnings outlook and
continued strong cash flow as reasons for raising the dividend.
    Brown-Forman said the split of its Class A and Class B
common shares would be effective March 13.
    The company said directors declared a quarterly cash
dividend on each new share of both classes of 28 cts, payable
April one to holders of record March 20. Prior to the split,
the company had paid 31 cts quarterly.
    Brown-Forman today reported a 37 pct increase in third 
quarter profits to 21.6 mln dlrs, or 1.00 dlr a share, on a
seven pct increase in sales to a record 337 mln dlrs.
    Brown-Forman said nine month profits declined a bit to 66.0
mln dlrs, or 3.07 dlrs a share, from 66.2 mln dlrs, or 3.08
dlrs a share, a year earlier due to a second quarter charge of
37 cts a share for restructuring its beverage operations.
    The company said lower corporate tax rates and the
restructuring ""are expected to substantially improve
Brown-Forman's earnings and cash flow in fiscal 1988.""
 Reuter
",['earn'],['usa'],"Brown-Forman Inc announced a three-for-two stock split and a 35% increase in the company cash dividend. The company cited its improved earnings outlook and continued strong cash flow as reasons for raising the dividend. Third quarter profits increased 37% to 21.6 mln dlrs, or 1.00 dlr a share, on a seven pct increase in sales to a record 337 mlrs.",brown-forman inc announced three-for-two stock split 35 increase company cash dividend company cited improved earnings outlook continued strong cash flow reason raising dividend third quarter profit increased 37 21.6 mln dlrs 1.00 dlr share seven pct increase sale record 337 mlrs
ESQUIRE RADIO AND ELECTRONICS INC &lt;EE> 4TH QTR,"Shr profit 15 cts vs profit four cts
    Annual div 72 cts vs 72 cts prior yr
    Net profit 72,000 vs profit 16,000
    Revs 7,075,000 vs 2,330,000
    12 mths
    Shr profit 42 cts vs loss 11 cts
    Net profit 203,000 vs loss 55,000
    Revs 16.1 mln vs 3,971,000
    NOTE: annual dividend payable April 10, 1987, to
stockholders of record on March 27, 1987.
 Reuter
",['earn'],['usa'],"Annual div is 72 cts. Net profit is 72,000. Revs 7,075,000 vs 2,330,000 in the last 12 months. Annual dividend is payable April 10, 1987, to stockholders of record on March 27, 1987.","annual div 72 ct net profit 72,000 rev 7,075,000 v 2,330,000 last 12 month annual dividend payable april 10 1987 stockholder record march 27 1987"
SHEARSON LEHMAN NAMES NEW MANAGING DIRECTOR,"Shearson Lehman Brothers, a unit of
American Express Co &lt;AXP>, said Robert Stearns has joined the
company as managing director of its merger and acquisition
department.
    Shearson said Stearns formerly was part of Merrill Lynch
Pierce, Fenner and Smith Inc's &lt;MER> merger and acquisitions
department.
 Reuter
",[],['usa'],Robert Stearns has joined Shearson Lehman Brothers as managing director of its merger and acquisition department. He used to work for Merrill Lynch's merger and acquisitions department. Shearson is a unit of American Express Co &lt;AXP.,robert stearns ha joined shearson lehman brother managing director merger acquisition department used work merrill lynch 's merger acquisition department shearson unit american express co axp
